@relation '1988_14col.small.data'

@attribute DayofWeek numeric
@attribute CRSDepTime numeric
@attribute UniqueCarrier {UA,DL,CO,EA,NW,AA,US,TW,PA}
@attribute FlightNum {899.0,357.0,341.0,581.0,902.0,931.0,563.0,951.0,1095.0,1021.0,901.0,1536.0,264.0,900.0,773.0,509.0,1185.0,707.0,1298.0,1144.0,1280.0,985.0,1465.0,152.0,1579.0,769.0,1401.0,1286.0,206.0,1552.0,180.0,670.0,1815.0,1094.0,591.0,879.0,1062.0,584.0,1581.0,904.0,671.0,746.0,50.0,51.0,272.0,862.0,1470.0,699.0,52.0,1428.0,903.0,141.0,76.0,890.0,271.0,21.0,77.0,801.0,151.0,160.0,1605.0,1461.0,343.0,1237.0,1810.0,905.0,439.0,290.0,1819.0,1023.0,1132.0,1553.0,1423.0,1577.0,330.0,483.0,158.0,162.0,270.0,778.0,155.0,705.0,906.0,1402.0,1451.0,700.0,1140.0,1555.0,1267.0,258.0,1621.0,200.0,1571.0,1291.0,652.0,1294.0,164.0,1450.0,1043.0,1619.0,54.0,910.0,909.0,195.0,1099.0,1064.0,172.0,157.0,539.0,182.0,1184.0,872.0,20.0,192.0,177.0,131.0,340.0,1403.0,1092.0,586.0,741.0,476.0,1554.0,567.0,819.0,1427.0,146.0,345.0,338.0,1068.0,267.0,1816.0,612.0,541.0,353.0,1675.0,194.0,898.0,344.0,582.0,1614.0,914.0,1224.0,1154.0,236.0,1601.0,1476.0,1145.0,467.0,1812.0,399.0,674.0,888.0,735.0,1007.0,1238.0,1404.0,916.0,1263.0,116.0,1575.0,1572.0,1405.0,622.0,1025.0,863.0,165.0,847.0,55.0,1441.0,1149.0,559.0,480.0,891.0,1090.0,161.0,1425.0,154.0,1811.0,1637.0,347.0,718.0,184.0,932.0,254.0,203.0,848.0,33.0,504.0,1477.0,919.0,121.0,1559.0,1027.0,897.0,1505.0,1561.0,698.0,190.0,1479.0,549.0,197.0,710.0,167.0,883.0,472.0,785.0,964.0,921.0,800.0,664.0,918.0,562.0,1066.0,59.0,597.0,896.0,1073.0,1059.0,1400.0,79.0,342.0,1258.0,630.0,601.0,1257.0,251.0,191.0,78.0,1052.0,36.0,252.0,1712.0,1422.0,839.0,57.0,574.0,917.0,277.0,75.0,946.0,346.0,1089.0,939.0,755.0,576.0,16.0,1662.0,845.0,273.0,1797.0,907.0,908.0,915.0,173.0,174.0,1573.0,844.0,92.0,97.0,548.0,665.0,654.0,568.0,640.0,797.0,631.0,1299.0,1252.0,1000.0,268.0,401.0,962.0,175.0,948.0,1283.0,112.0,283.0,1002.0,449.0,1127.0,861.0,1122.0,1010.0,1011.0,1625.0,983.0,685.0,1107.0,337.0,523.0,1192.0,1256.0,924.0,1729.0,974.0,880.0,348.0,481.0,742.0,573.0,249.0,473.0,596.0,231.0,675.0,824.0,1165.0,460.0,1164.0,1167.0,616.0,1166.0,708.0,1169.0,319.0,1168.0,508.0,876.0,691.0,1191.0,952.0,934.0,144.0,837.0,808.0,1176.0,1616.0,139.0,993.0,211.0,692.0,315.0,1644.0,1272.0,867.0,1146.0,1020.0,893.0,1515.0,1199.0,1545.0,1591.0,1420.0,1014.0,1172.0,1055.0,1584.0,1560.0,1018.0,122.0,1075.0,317.0,1463.0,1595.0,995.0,1161.0,1277.0,1478.0,501.0,1259.0,1015.0,929.0,42.0,1716.0,198.0,257.0,731.0,577.0,189.0,611.0,405.0,730.0,941.0,629.0,1174.0,733.0,712.0,263.0,732.0,725.0,1088.0,1118.0,1609.0,491.0,849.0,825.0,1736.0,1737.0,1197.0,1188.0,30.0,409.0,1497.0,653.0,823.0,217.0,133.0,1496.0,434.0,636.0,487.0,1070.0,1028.0,1153.0,1022.0,1026.0,226.0,1155.0,1261.0,1030.0,1156.0,565.0,942.0,259.0,1163.0,498.0,188.0,1086.0,56.0,183.0,599.0,204.0,958.0,971.0,528.0,138.0,1103.0,1069.0,1710.0,841.0,1041.0,687.0,280.0,1091.0,1566.0,123.0,977.0,193.0,1768.0,1032.0,1076.0,417.0,355.0,1746.0,1228.0,145.0,489.0,1396.0,149.0,241.0,451.0,1347.0,142.0,453.0,375.0,530.0,318.0,1040.0,851.0,1352.0,493.0,604.0,1795.0,431.0,1586.0,1417.0,1264.0,1048.0,1139.0,1085.0,639.0,1054.0,311.0,1527.0,464.0,514.0,1567.0,1409.0,1592.0,1225.0,1134.0,835.0,1187.0,1249.0,1039.0,1295.0,996.0,1196.0,1115.0,781.0,662.0,1582.0,1446.0,1510.0,352.0,379.0,990.0,1533.0,1574.0,109.0,485.0,1215.0,1512.0,1135.0,1429.0,1500.0,1523.0,1271.0,179.0,1278.0,1459.0,1467.0,1171.0,1173.0,1077.0,90.0,1490.0,1525.0,459.0,1170.0,1001.0,998.0,1491.0,1178.0,1141.0,1218.0,324.0,1287.0,404.0,814.0,140.0,1159.0,521.0,719.0,1009.0,684.0,973.0,757.0,1411.0,623.0,1387.0,646.0,1279.0,209.0,1576.0,1492.0,767.0,771.0,412.0,1765.0,12.0,1763.0,1739.0,894.0,95.0,293.0,627.0,63.0,895.0,61.0,1251.0,1293.0,1129.0,1437.0,1504.0,1214.0,1416.0,1535.0,1125.0,1288.0,1253.0,60.0,159.0,243.0,1183.0,1106.0,1234.0,1506.0,101.0,1471.0,199.0,649.0,1583.0,1391.0,638.0,285.0,1084.0,806.0,560.0,232.0,503.0,608.0,394.0,553.0,1529.0,1578.0,1775.0,4006.0,4007.0,1003.0,376.0,889.0,383.0,299.0,1408.0,301.0,850.0,382.0,1017.0,945.0,1585.0,385.0,247.0,1235.0,860.0,309.0,1143.0,287.0,1543.0,1389.0,829.0,329.0,367.0}
@attribute Origin {ORD,IAD,CLE,EWR,DTW,BOS,LGA,CAE,BDL,ISP,TPA,FLL,RSW,BUF,ROC,MCO,JAX,PBI,GSO,IAH,DEN,CHS,SFO,DFW,LAX,RDU,PIT,SLC,JFK,ATL,PHF,MSY,MDW,MIA,MEM,STL,ORF,SJU,RIC,DCA,SEA,MSP,PHL,MDT,HPN,BWI,SRQ,MHT,SYR,SDF,BTV,IND,BNA,HOU,SAV,PVD,PWM,PHX}
@attribute Dest {IAD,ATL,DEN,RIC,LGA,MSP,ORD,DTW,EWR,SLC,PIT,BOS,SJU,CLE,DFW,LAX,BDL,FLL,MCO,SFO,MIA,MSY,JFK,PBI,TPA,CHS,JAX,PHF,MEM,MDW,ROC,BUF,ISP,GSO,RDU,ORF,STL,IAH,CAE,RSW,SEA,DCA,PHL,CRW,HPN,BWI,SRQ,MDT,MHT,SYR,SDF,IND,BTV,HOU,SAV,BNA,PVD,PWM,PHX}
@attribute ArrDelay numeric

@data
5,1350,NW,819.0,IAD,MEM,24
5,1355,UA,1571.0,IAD,CAE,0
5,1356,UA,1267.0,IAD,MIA,-6
5,1358,UA,1043.0,IAD,MSY,9
5,1400,UA,1619.0,IAD,RSW,7
5,1402,UA,1291.0,IAD,FLL,-2
5,1406,UA,1427.0,IAD,TPA,54
5,1406,UA,146.0,ORD,IAD,-9
5,1410,UA,1555.0,IAD,GSO,-6
5,1415,UA,345.0,IAD,DEN,5
5,1415,UA,909.0,IAD,MCO,-8
5,1436,AA,338.0,DFW,IAD,-12
5,1450,UA,1068.0,MCO,IAD,-13
5,1450,CO,157.0,IAD,MCO,-12
5,1450,CO,192.0,IAD,TPA,9
5,1450,CO,267.0,IAD,PBI,-6
5,1454,DL,1816.0,SLC,IAD,8
5,1455,CO,177.0,IAD,JAX,-3
5,1500,CO,612.0,EWR,IAD,0
5,1500,EA,541.0,IAD,ATL,24
5,1510,US,353.0,IAD,PIT,0
5,1510,CO,1675.0,IAD,DEN,53
5,1515,UA,1184.0,IAD,DTW,-3
5,1520,CO,182.0,IAD,BOS,-22
5,1520,CO,194.0,IAD,MIA,-5
5,1522,UA,898.0,IAD,BOS,29
5,1524,UA,1403.0,IAD,MDW,19
5,1525,CO,741.0,IAD,DTW,1
5,1527,AA,567.0,IAD,DFW,1
5,1528,UA,1554.0,IAD,BDL,-13
5,1530,UA,344.0,DEN,IAD,-5
5,1532,UA,1402.0,IAD,ROC,-4
5,1534,UA,1064.0,IAD,BUF,-1
5,1535,CO,582.0,DEN,IAD,-29
5,1537,DL,1614.0,ATL,IAD,-9
5,1538,UA,1450.0,IAD,CLE,14
5,1551,UA,914.0,RDU,IAD,-6
5,1551,UA,1224.0,GSO,IAD,-18
5,1554,UA,1154.0,CAE,IAD,-2
5,1557,AA,236.0,ORD,IAD,-21
5,1600,DL,1601.0,IAD,ATL,16
5,1610,UA,1476.0,MSY,IAD,-23
5,1612,UA,1145.0,IAD,RSW,-3
5,1615,NW,467.0,MEM,IAD,-4
5,1624,DL,1812.0,SLC,IAD,-14
5,1625,NW,399.0,IAD,MSP,3
5,1637,TW,674.0,STL,IAD,0
5,1647,UA,888.0,ORD,IAD,4
5,1650,CO,735.0,IAD,EWR,-9
5,1655,UA,671.0,IAD,ORD,25
5,1655,DL,1007.0,ATL,IAD,6
5,1700,UA,1238.0,TPA,IAD,58
5,1700,UA,1404.0,MDW,IAD,-18
5,1710,UA,916.0,ORF,IAD,-3
5,1713,UA,1263.0,MIA,IAD,-5
5,1715,US,116.0,PIT,IAD,3
5,1715,UA,1575.0,CLE,IAD,5
5,1715,UA,1572.0,FLL,IAD,6
5,1715,UA,1405.0,RSW,IAD,-4
5,1721,AA,622.0,DFW,IAD,-25
5,1725,UA,1025.0,BOS,IAD,24
5,1725,TW,863.0,IAD,SFO,29
5,1730,UA,539.0,BDL,IAD,6
5,1730,CO,165.0,BOS,IAD,0
5,1730,CO,847.0,IAD,IAH,47
5,1730,UA,55.0,IAD,LAX,18
5,1732,UA,1068.0,IAD,BOS,-14
5,1734,UA,914.0,IAD,LGA,-6
5,1735,UA,1621.0,BUF,IAD,-4
5,1735,UA,1441.0,EWR,IAD,-3
5,1736,UA,1154.0,IAD,EWR,-10
5,1738,UA,1224.0,IAD,BDL,-1
5,1740,UA,1149.0,DTW,IAD,1
5,1745,UA,559.0,MCO,IAD,1
5,1745,CO,480.0,PBI,IAD,7
5,1745,TW,891.0,IAD,LAX,62
5,1746,UA,1090.0,JAX,IAD,-9
5,1750,CO,161.0,TPA,IAD,-5
5,1754,UA,1425.0,ROC,IAD,-9
5,1755,CO,154.0,MCO,IAD,-4
5,1755,DL,1811.0,IAD,SLC,-1
5,1800,CO,1637.0,IAD,DEN,46
5,1800,UA,347.0,IAD,DEN,-8
5,1805,CO,718.0,DTW,IAD,-2
5,1815,CO,184.0,JAX,IAD,-19
5,1825,EA,932.0,SJU,IAD,38
5,1830,UA,916.0,IAD,LGA,-16
5,1830,CO,254.0,MIA,IAD,-19
5,1835,US,203.0,IAD,PIT,0
5,1840,CO,848.0,IAH,IAD,-27
5,1851,UA,1575.0,IAD,JFK,-12
5,1859,AA,33.0,IAD,DFW,13
5,1905,CO,504.0,DEN,IAD,4
5,1915,UA,1477.0,EWR,IAD,2
5,1915,UA,919.0,LGA,IAD,20
5,1928,AA,121.0,IAD,ORD,5
5,1930,UA,1559.0,BDL,IAD,3
5,1930,UA,1027.0,BOS,IAD,-2
5,1930,CO,897.0,IAD,LAX,54
5,1930,UA,1425.0,IAD,FLL,7
5,1932,UA,1441.0,IAD,RDU,6
5,1934,UA,539.0,IAD,MCO,4
5,1940,UA,1505.0,IAD,RSW,19
5,1942,UA,1561.0,IAD,CHS,73
5,1945,EA,698.0,ATL,IAD,-2
5,1945,CO,190.0,IAD,FLL,7
5,1950,UA,1479.0,IAD,JAX,5
5,1950,CO,549.0,IAD,MCO,-1
5,1950,CO,197.0,IAD,TPA,35
5,1950,CO,165.0,IAD,PBI,-7
5,1953,UA,710.0,ORD,IAD,-8
5,1955,CO,718.0,IAD,EWR,-12
5,1955,CO,167.0,IAD,JAX,-1
5,1955,NW,883.0,MEM,IAD,-14
5,1959,AA,472.0,DFW,IAD,-20
5,2000,CO,785.0,EWR,IAD,8
5,2002,UA,964.0,RIC,IAD,1
5,2005,UA,921.0,LGA,IAD,8
5,2010,AA,800.0,ORD,IAD,-10
5,2014,TW,664.0,STL,IAD,-10
5,2015,UA,1405.0,IAD,MDW,20
5,2015,TW,549.0,IAD,STL,1
5,2020,UA,1572.0,IAD,BUF,-8
5,2025,UA,918.0,IAD,LGA,-12
5,2028,UA,1476.0,IAD,BDL,-11
5,2030,UA,1404.0,IAD,ROC,-6
5,2030,UA,800.0,JFK,IAD,0
5,2032,UA,559.0,IAD,CLE,10
5,2040,CO,1184.0,IAD,ISP,-24
5,2040,CO,184.0,IAD,BOS,-28
5,2045,CO,480.0,IAD,DTW,24
5,2052,UA,1263.0,IAD,DTW,0
5,2053,UA,562.0,IAD,EWR,-7
5,2100,UA,1066.0,IAD,BOS,-6
5,2110,DL,1816.0,IAD,JFK,1
5,2130,EA,932.0,IAD,CLE,43
5,2135,UA,59.0,IAD,SFO,12
5,2135,US,597.0,PIT,IAD,-9
5,2137,UA,1559.0,IAD,GSO,-9
5,2140,UA,1027.0,IAD,CAE,7
5,2140,CO,896.0,LAX,IAD,-16
5,2200,UA,1073.0,BUF,IAD,-14
5,2205,UA,1059.0,ROC,IAD,-13
6,600,UA,899.0,ORD,IAD,2
6,615,DL,357.0,IAD,ATL,3
6,625,CO,581.0,IAD,DEN,31
6,630,UA,902.0,CLE,IAD,-3
6,635,EA,931.0,CLE,IAD,-5
6,635,UA,563.0,EWR,IAD,-4
6,636,UA,951.0,IAD,RIC,1
6,645,UA,1095.0,DTW,IAD,-5
6,645,UA,1021.0,BOS,IAD,-8
6,645,UA,1400.0,MDW,IAD,4
6,647,UA,901.0,LGA,IAD,-9
6,650,UA,1536.0,CAE,IAD,-5
6,650,CO,151.0,DTW,IAD,-8
6,650,CO,264.0,BOS,IAD,22
6,655,UA,1470.0,GSO,IAD,-12
6,655,UA,900.0,IAD,LGA,-15
6,700,EA,509.0,IAD,ATL,8
6,705,NW,707.0,IAD,MSP,14
6,705,UA,1298.0,TPA,IAD,-5
6,705,UA,1144.0,FLL,IAD,-9
6,705,UA,1280.0,RSW,IAD,-20
6,707,AA,985.0,IAD,ORD,9
6,710,UA,1465.0,BUF,IAD,-8
6,710,CO,152.0,FLL,IAD,-8
6,720,NW,79.0,DCA,IAD,-17
6,720,UA,1579.0,ROC,IAD,1
6,720,NW,769.0,IAD,DTW,0
6,720,UA,1401.0,MCO,IAD,-14
6,725,UA,1286.0,JAX,IAD,-16
6,725,CO,206.0,PBI,IAD,-2
